Title,Link
Buffett Archive,https://buffett.cnbc.com
Asia markets trade mixed after Wall Street losses as Iran war dents risk sentiment,https://www.cnbc.com/2026/03/20/asia-markets-today-nikkei-hang-seng-kospi.html
Asia market moves,https://www.cnbc.com/2026/03/20/asia-markets-today-nikkei-hang-seng-kospi.html
U.S. futures,https://www.cnbc.com/2026/03/19/stock-market-today-live-updates.html
'New-collar' jobs,https://www.cnbc.com/2026/03/18/ai-data-center-buildout-jobs-salary-skilled-traders-worker-shortage.html
Iran war,https://www.cnbc.com/2026/03/18/iran-war-intelligence-esmail-khatib-israel-middle-east-crisis.html
Bridge Data Centres,https://www.cnbc.com/2026/03/18/bain-capital-bridge-data-centres-ai-buildout.html
France's finmin,https://www.cnbc.com/2026/03/18/france-strait-of-hormuz-ships-attacks-trump-allies-insurance-drones.html
Trump invokes Pearl Harbor in front of Japanese prime minister to defend Iran attack secrecy,https://www.cnbc.com/2026/03/20/trump-pearl-harbor-japan-takaichi-iran-war.html
Japan rejects U.S. intel claim of ‘significant shift’ on Taiwan ahead of Takaichi's summit with Trump,https://www.cnbc.com/2026/03/19/japan-rejects-us-intelligence-taiwan-policy-shift-takaichi-energy-hormuz.html
"Stocks fall for a second day, but close off session lows as oil surge eases",https://www.cnbc.com/2026/03/18/stock-market-today-live-updates.html
The Iran war is sending shockwaves through the world's busiest IPO market,https://www.cnbc.com/2026/03/20/iran-war-dampen-most-active-ipo-market.html
Japan wanted inflation and Iran war could grant that wish. But it's not the type Tokyo desires,https://www.cnbc.com/2026/03/20/iran-war-japan-inflation-boj-oil-prices.html
Japan wanted inflation and Iran war could grant that wish. But it's not the type Tokyo desires,https://www.cnbc.com/2026/03/20/iran-war-japan-inflation-boj-oil-prices.html
The Iran war is sending shockwaves through the world's busiest IPO market,https://www.cnbc.com/2026/03/20/iran-war-dampen-most-active-ipo-market.html
CNBC Daily Open: Netanyahu's 'ground component' warning,https://www.cnbc.com/2026/03/20/cnbc-daily-open-netanyahus-ground-component-warning.html
Alibaba workforce shrinks 34% in 2025 as Chinese tech giant doubles down on AI,https://www.cnbc.com/2026/03/20/alibaba-headcount-falls-ai-push-sun-art-intime-sales.html
Some uncomfortable history rears its head at Trump-Takaichi meeting,https://www.cnbc.com/2026/03/20/cnbc-daily-open-some-uncomfortable-history-rears-its-head-at-trump-takaichi-meeting.html
Trump invokes Pearl Harbor in front of Japanese prime minister to defend Iran attack secrecy,https://www.cnbc.com/2026/03/20/trump-pearl-harbor-japan-takaichi-iran-war.html
Oil falls as U.S. weighs releasing sanctioned Iranian crude to cool prices,https://www.cnbc.com/2026/03/20/oil-wti-brent-us-weighs-releasing-sanctioned-iranian-crude.html
